body,title,id,snapshot_id
"['offer', 'guide', 'prompt', 'flashcard', 'generation']","['flashcard', 'generation']",4513220956015717657,7
"['nss_gps', 'stand', 'nail', 'scale', 'sail', 'global', 'positioning', 'system', 'leverage', 'genais', 'information', 'retrieval', 'capability', 'operation', 'innovation', 'management', 'charlie', 'fine', 'develop', 'nss', 'early', 'https', 'com', 'nss_gps', 'frame', 'tool', 'startup', 'example', 'need', 'operation', 'innovation', 'management', 'segment', 'processify', 'acculturate', 'professionalize', 'automate', 'collaborate', 'capitalize', 'platformize', 'replicate', 'evaluate', 'share', 'startup', 'lucid', 'vinfast', 'rivian', 'establish', 'company', 'hyundai', 'tesla', 'nss_gps', 'architecturally', 'support', 'wide', 'range', 'use', 'case', 'blueprint', 'img', 'width', 'alt', 'image', 'src', 'https', 'github', 'com', 'bayessd', 'asset', 'product', 'description', 'establish', 'state', 'space', 'entrepreneur', 'provide', 'curate', 'startegy', 'global', 'positioning', 'system', 'current', 'desire', 'state', 'blueprint', 'detail', 'nss_gps_arch', 'pdf', 'https', 'github', 'com', 'bayessd', 'file', 'nss_gps_arch', 'pdf', 'modular', 'design', 'need', 'support', 'startup', 'lucid', 'vinfast', 'rivian', 'establish', 'company', 'hyundai', 'tesla', 'supporter', 'img', 'width', 'alt', 'image', 'src', 'https', 'github', 'com', 'bayessd', 'asset', 'bit', 'nss', 'charlie', 'sergey', 'entrep', 'compass', 'scott', 'erin', 'supply', 'polly', 'develop', 'polly', 'demo', 'day', 'seminar', 'launch', 'atom', 'suyeol', 'ryan', 'supply', 'vikash', 'produce', 'scott', 'distribute', 'customer', 'theory', 'professor', 'baye', 'business', 'practice', 'delta', 'bill', 'daniella', 'singapore', 'innovation', 'center', 'demand', 'jinhua', 'singapore', 'smart', 'city', 'benchmark', 'singapore', 'innovation', 'center', 'nss_gps', 'graybox', 'input', 'general', 'theory', 'propositional', 'belief', 'knowledge', 'choose', 'specific', 'state', 'output', 'global', 'view', 'center', 'specific', 'state', 'specific', 'prescriptive', 'knowledge', 'code', 'blackboxe', 'exist', 'need', 'configuration', 'need', 'implementation', 'help', 'need', 'encode', 'general', 'theory', 'wisdom', 'casestudie', 'btw', 'luca', 'guis', 'tie', 'phd', 'work', 'scott', 'recommend', 'look', 'crunchbase', 'https', 'crunchbase', 'com', 'find', 'investment', 'utm_source', 'google', 'utm_medium', 'cpc', 'utm_campaign', 'sch', 'keyword', 'crunchbase', 'matchtype', 'creative', 'device', 'adposition', 'campaignid', 'placement', 'network', 'gad', 'gclid', 'startup', 'data', 'roadmap', 'solution', 'development', 'process', 'supply', 'design', 'develop', 'launch', 'supply', 'introduce', 'individual', 'capability', 'angie', 'charlie', 'share', 'experience', 'pivot', 'non', 'successful', 'startup', 'organization', 'term', 'domain', 'angie', 'charlie', 'experience', 'different', 'type', 'business', 'government', 'educational', 'organization', 'charlie', 'initial', 'dean', 'asian', 'school', 'business', 'angie', 'manager', 'bayesian', 'computation', 'community', 'stankorea', 'subscriber', 'expertise', 'good', 'network', 'mit', 'tie', 'group', 'fiona', 'murray', 'scott', 'stern', 'bill', 'autlet', 'eric', 'von', 'hippel', 'singapore', 'smart', 'innovation', 'center', 'howard', 'califano', 'korea', 'snus', 'innovation', 'center', 'janggil', 'kim', 'ensuk', 'seo', 'design', 'nss_gps', 'entrepreneur', 'combine', 'charlie', 'nss', 'tie', 'group', 'entreprenerial', 'compass', 'angie', 'actionable', 'workflow', 'nss', 'sequential', 'time', 'stage', 'startup', 'lifecycle', 'nail', 'stage', 'involve', 'rapidly', 'iterate', 'establish', 'viable', 'value', 'proposition', 'business', 'model', 'scale', 'stage', 'involve', 'grow', 'company', 'build', 'capability', 'process', 'serve', 'expand', 'market', 'finally', 'sail', 'stage', 'growth', 'slow', 'focus', 'turn', 'incremental', 'improvement', 'sustain', 'mature', 'business', 'entreprenerial', 'compass', 'strategical', 'direction', 'develop', 'idea', 'startup', 'intellectual', 'property', 'strategy', 'focus', 'gain', 'control', 'innovation', 'patent', 'trademark', 'collaborate', 'reduce', 'cost', 'value', 'chain', 'strategy', 'aim', 'preferred', 'partner', 'slice', 'industrys', 'value', 'chain', 'strong', 'execution', 'collaboration', 'disruption', 'strategy', 'target', 'underserve', 'segment', 'use', 'iteration', 'learn', 'expand', 'finally', 'architectural', 'strategy', 'create', 'entirely', 'new', 'value', 'chain', 'control', 'key', 'resource', 'interface', 'coordinate', 'multiple', 'stakeholder', 'provide', 'new', 'consumer', 'value', 'actionable', 'workflow', 'entrepreneurial', 'decision', 'architecture', 'iterative', 'testing', 'need', 'stakeholder', 'structural', 'knowledge', 'expert', 'machine', 'learning', 'method', 'come', 'key', 'hinge', 'simulation', 'base', 'calibration', 'widely', 'adapt', 'testing', 'framework', 'bayesian', 'community', 'check', 'implementation', 'statistical', 'computational', 'model', 'align', 'expectation', 'prior', 'knowledge', 'base', 'graphical', 'unalignment', 'signal', 'converge', 'consistent', 'model', 'quickly', 'reliably', 'develop', 'todo', 'theory', 'nss', 'need', 'simplification', 'dynamic', 'introduction', 'prevent', 'cognitive', 'overload', 'entreprenerial', 'compass', 'need', 'dynamic', 'learning', 'component', 'embed', 'actionable', 'workflow', 'need', 'architectural', 'update', 'automate', 'iteration', 'product', 'explainable', 'policy', 'broadly', 'distribute', 'combine', 'bayesian', 'decision', 'framework', 'tool', 'system', 'architecture', 'combine', 'need', 'establish', 'database', 'launch', 'theory', 'men', 'launch', 'jan', 'digital', 'product', 'management', 'project', 'launch', 'spring', 'digital', 'product', 'management', 'course', 'tool', 'manus', 'launch', 'sep', 'product', 'management', 'demo', 'day', 'charlie', 'fine', 'launch', 'oct', 'system', 'dynamic', 'research', 'seminar', 'tom', 'fiddaman', 'launch', 'march', 'bayesian', 'entrepreneurship', 'conference', 'scott', 'stern', 'charlie', 'fine', 'fulfillment', 'process', 'supply', 'produce', 'distribute', 'sell', 'customer', 'supply', 'theory', 'scale', 'experimental', 'social', 'behavioral', 'economic', 'science', 'abdullah', 'almaatouq', 'thomas', 'mallone', 'tool', 'combine', 'llm', 'probablistic', 'programming', 'language', 'ppl', 'framework', 'vikash', 'mansinghka', 'produce', 'theory', 'aug', 'proposal', 'tool', 'sep', 'product', 'management', 'demo', 'day', 'charlie', 'fine', 'pivot', 'feedback', 'production', 'distribute', 'theory', 'fall', 'project', 'jinhua', 'scotts', 'class', 'combine', 'entrepreneurship', 'upload', 'arxiv', 'tool', 'sep', 'version', 'strategy', 'chat', 'service', 'available', 'online', 'sell', 'theory', 'positive', 'response', 'theoretical', 'contribution', 'tie', 'group', 'project', 'member', 'tool', 'positive', 'response', 'practical', 'contribution', 'startsup', 'mentor', 'vcs', 'customer', 'alpha', 'delta', 'cohort', 'digital', 'product', 'management', 'student', 'student', 'beta', 'startup', 'use', 'online', 'nss_gps', 'service', 'need', 'development', 'process', 'supply', 'design', 'develop', 'theory', 'tool', 'concretely', 'propose', 'develop', 'need', 'introduce', 'usefulness', 'nss', 'entrepreneurial', 'compass', 'actionable', 'workflow', 'public', 'supply', 'theoretical', 'practical', 'discovery', 'solution', 'development', 'process', 'fulfillment', 'process', 'design', 'todo', 'construct', 'scenario', 'propose', 'tool', 'theory', 'sovle', 'problem', 'potential', 'customer', 'develop', 'linkedin', 'post', 'like', 'quality', 'quantity', 'potential', 'customer', 'update', 'reference', 'technology', 'innovation', 'entrepreneurship', 'strategy', 'nss', 'https', 'com', 'operation', 'entrepreneur', 'operation', 'management', 'difference', 'entrepreneurial', 'theory', 'practice', 'https', 'onlinelibrary', 'wiley', 'com', 'doi', 'pom', 'entrepreneurial', 'compass', 'https', 'www', 'entrepreneurial', 'strategy', 'net', 'academic', 'research', 'power', 'prediction', 'disruptive', 'economic', 'artificial', 'intelligence', 'https', 'www', 'amazon', 'com', 'power', 'prediction', 'disruptive', 'artificial', 'intelligence', 'actionable', 'workflow', 'simulation', 'base', 'calibration', 'check', 'bayesian', 'computation', 'choice', 'test', 'quantities', 'shape', 'sensitivity', 'seminar', 'video', 'https', 'www', 'youtube', 'com', 'watch', 'armok', 'mit', 'probablistic', 'programming', 'lab', 'bridge', 'statistic', 'dynamic', 'modeling', 'vensim', 'python', 'stan', 'isdc', 'poster', 'theory', 'lean', 'startup', 'https', 'pubsonline', 'inform', 'org', 'doi', 'abs', 'mksc', 'computational', 'social', 'behavioral', 'economic', 'science', 'almaatouq', 'becker', 'bernstein', 'botto', 'bradlow', 'damer', 'duckworth', 'griffith', 'hartshorne', 'lazer', 'law', 'liu', 'matias', 'rand', 'salganik', 'satlof', 'bedrick', 'schweitzer', 'shirado', 'suchow', 'suri', 'tsvetkova', 'watts', 'whiting', 'yin', 'scale', 'experimental', 'social', 'behavioral', 'economic', 'science', 'technical', 'report', 'sequential', 'monte', 'carlo', 'steering', 'large', 'language', 'model', 'use', 'probabilistic', 'program', 'https', 'arxiv', 'org', 'pdf', 'pdf', 'https', 'www', 'linkedin', 'com', 'post', 'jeffwinterinsight', 'activity', 'vbou', 'utm_source', 'share', 'utm_medium', 'member_desktop']",['nss_gps'],-2280031746919879267,9
"['welcome', 'use', 'discussion', 'place', 'connect', 'member', 'community', 'hope', 'ask', 'question', 'wonder', 'share', 'idea', 'engage', 'community', 'member', 'welcome', 'open', 'minded', 'remember', 'community', 'build', 'start', 'comment', 'introduction', 'tell', 'community', 'maintainer', 'tip', 'getting', 'start', 'discussion', 'leave', 'markdown', 'comment', 'feel', 'free', 'comment', 'maintainer', 'announce', 'community', 'discussion', 'available', 'ahead', 'send', 'tweet', 'post', 'link', 'website', 'drive', 'traffic', 'use', 'issue', 'template', 'link', 'relevant', 'issue', 'template', 'question', 'community', 'conversation', 'discussion', 'declutter', 'issue', 'drive', 'community', 'content', 'belong', 'discussion', 'need', 'help', 'link', 'documentation', 'https', 'doc', 'github', 'com', 'github', 'build', 'strong', 'community', 'configure', 'issue', 'template', 'repository', 'configure', 'template', 'chooser', 'convert', 'issue', 'discussion', 'individually', 'bulk', 'label', 'look', 'issue', 'label', 'question', 'discussion']","['welcome', 'opensmtpd', 'discussion']",-8790316081538183861,9
"['earth', 'science', 'behavior', 'potentially', 'chaotic', 'neq', 'text', 'chaotic']","['chaos', 'notchaos']",-8597903636786974101,7
"['instal', 'python', 'run', 'new', 'docker', 'container', 'demo', 'https', 'chat', 'openai', 'com', 'share', 'image', 'description', 'screenshot', 'https', 'raw', 'githubusercontent', 'com', 'pandora', 'main', 'image', 'demo', 'list', 'file', 'png', 'list', 'file', 'screenshot', 'https', 'raw', 'githubusercontent', 'com', 'pandora', 'main', 'image', 'demo', 'problem', 'solve', 'png', 'python', 'find', 'chatgpt', 'offer', 'install', 'screenshot', 'https', 'raw', 'githubusercontent', 'com', 'pandora', 'main', 'image', 'demo', 'instal', 'package', 'png', 'instal', 'python', 'local', 'container', 'screenshot', 'https', 'raw', 'githubusercontent', 'com', 'pandora', 'main', 'image', 'demo', 'pull', 'node', 'image', 'png', 'pull', 'late', 'node', 'docker', 'image', 'screenshot', 'https', 'raw', 'githubusercontent', 'com', 'pandora', 'main', 'image', 'demo', 'run', 'python', 'png', 'run', 'python', 'local', 'container', 'screenshot', 'https', 'raw', 'githubusercontent', 'com', 'pandora', 'main', 'image', 'demo', 'run', 'docker', 'png', 'run', 'node', 'new', 'docker', 'container']","['demo', 'example', 'thread', 'share', 'pandora']",2006588039479725369,9
[],"['week', 'checkin']",7498901665765710832,8
"['hey', 'datum', 'engineer', 'let', 'talk', 'rule', 'https', 'www', 'ssw', 'com', 'rule', 'use', 'right', 'data', 'storage']","['database', 'datum', 'warehouse', 'datum', 'lake', 'chew', 'fat']",8440185642223114474,9
"['stick', 'typeerror', 'happen', 'autogpt', 'command', 'command', 'line', 'ienable', 'bool', 'callable', 'config', 'bool', 'true', 'solve', 'upgrade', 'python', 'version', 'maybe', 'solve', 'use', 'python', 'venv', 'module', 'virtual', 'environment', 'specify', 'python', 'version', 'follow', 'small', 'conversation', 'https', 'chat', 'openai', 'com', 'share', 'dbcc', 'thank', 'funny', 'project']","['stick', 'typeerror', 'let']",8514745530533221010,2
"['struct', 'know', 'later', 'initialize', 'contract', 'storage', 'information', 'memory', 'slot', 'wise', 'occupy', 'suggest', 'use', 'term', 'word', 'evm', 'word', 'instead', 'slot', 'information', 'struct', 'datatype', 'sol', 'advantage', 'approach', 'increase', 'code', 'readability', 'remove', 'burden', 'knowledge', 'specific', 'use', 'struct', 'declare', 'datatype', 'sol', 'increase', 'coupling', 'declaration', 'definition', 'struct', 'exact', 'opposite', 'motivation', 'existence', 'datatype', 'sol']","['uniform', 'markup', 'memory', 'requirement', 'struct', 'declare', 'datatype', 'sol']",6005926185413382217,2
"['follow', 'error', 'command', 'path', 'path', 'usr', 'local', 'bin', 'opt', 'homebrew', 'bin', 'node_path', 'npm', 'root', 'node', 'home', 'forge', 'rrdevour', 'monster', 'vendor', 'spatie', 'browsershot', 'src', 'bin', 'browser', 'url', 'https', 'www', 'google', 'com', 'action', 'screenshot', 'option', 'type', 'png', 'path', 'example', 'png', 'args', 'viewport', 'width', 'height', 'puppeteer', 'executablepath', 'usr', 'bin', 'chromium', 'browser', 'fail', 'exit', 'code', 'general', 'error', 'work', 'directory', 'home', 'forge', 'rrdevour', 'monster', 'public', 'output', 'error', 'output', 'puppeteer', 'old', 'headless', 'deprecation', 'warning', 'near', 'feature', 'headless', 'true', 'default', 'new', 'headless', 'mode', 'chrome', 'instead', 'old', 'headless', 'implementation', 'information', 'https', 'developer', 'chrome', 'com', 'article', 'new', 'headless', 'consider', 'opt', 'early', 'pass', 'headless', 'new', 'puppeteer', 'launch', 'encounter', 'bug', 'report', 'https', 'github', 'com', 'puppeteer', 'puppeteer', 'issue', 'new', 'choose', 'error', 'find', 'chrome', 'ver', 'occur', 'perform', 'installation', 'run', 'script', 'npm', 'install', 'cache', 'path', 'incorrectly', 'configure', 'home', 'forge', 'cache', 'puppeteer', 'check', 'guide', 'configure', 'puppeteer', 'https', 'pptr', 'dev', 'guide', 'configuration', 'chromelauncher', 'resolveexecutablepath', 'usr', 'lib', 'node_modules', 'puppeteer', 'node_module', 'puppeteer', 'core', 'lib', 'cjs', 'puppeteer', 'node', 'productlauncher', 'chromelauncher', 'executablepath', 'usr', 'lib', 'node_modules', 'puppeteer', 'node_module', 'puppeteer', 'core', 'lib', 'cjs', 'puppeteer', 'node', 'chromelauncher', 'chromelauncher', 'computelaunchargument', 'usr', 'lib', 'node_modules', 'puppeteer', 'node_module', 'puppeteer', 'core', 'lib', 'cjs', 'puppeteer', 'node', 'chromelauncher', 'async', 'chromelauncher', 'launch', 'usr', 'lib', 'node_modules', 'puppeteer', 'node_module', 'puppeteer', 'core', 'lib', 'cjs', 'puppeteer', 'node', 'productlauncher', 'async', 'callchrome', 'home', 'forge', 'rrdevour', 'monster', 'vendor', 'spatie', 'browsershot', 'bin', 'browser', 'try', 'execute', 'php', 'browsershot', 'url', 'https', 'www', 'google', 'com', 'save', 'example', 'png', 'specify', 'output', 'file', 'chat', 'context', 'https', 'chat', 'openai', 'com', 'share', 'thank']",['processfailedexception'],4489380615548917812,8
